,precision,recall,f1-score,support
O,0.9481524133787302,0.988257704250711,0.9677897453588358,38323.0
PER,0.8419065596979708,0.6433465560764515,0.7293540474243664,2773.0
LOC,0.8149606299212598,0.7527272727272727,0.7826086956521738,1925.0
MISC,0.7484276729559748,0.6481481481481481,0.6946876824284881,918.0
ORG,0.8065591995553085,0.5813301282051282,0.6756693830034924,2496.0
accuracy,0.9292990201356736,0.9292990201356736,0.9292990201356736,0.9292990201356736
macro avg,0.832001295101849,0.7227619618815424,0.7700219107734714,46435.0
weighted avg,0.9247265943020914,0.9292990201356736,0.9247727144712166,46435.0
