,precision,recall,f1-score,support
O,0.9778163048189448,0.647548469587454,0.7791278138833946,38323.0
PER,0.22249955428775184,0.9001081860800577,0.35680080051461655,2773.0
LOC,0.5177514792899408,0.36363636363636365,0.42722001830942935,1925.0
MISC,0.054857142857142854,0.3660130718954248,0.0954138861280704,918.0
ORG,0.3566285472257518,0.3373397435897436,0.34671607988470254,2496.0
accuracy,0.628620652525035,0.628620652525035,0.628620652525035,0.628620652525035
macro avg,0.42591060569590644,0.5229291669578088,0.4010557197440427,46435.0
weighted avg,0.8620010944819171,0.628620652525035,0.702558752005681,46435.0
