,precision,recall,f1-score,support
O,0.9490761604326273,0.9891709939201002,0.9687088736983326,38323.0
PER,0.8730788299454636,0.6350522899386946,0.7352818371607515,2773.0
LOC,0.8022690437601296,0.7714285714285715,0.7865466101694916,1925.0
MISC,0.7464114832535885,0.6797385620915033,0.7115165336374001,918.0
ORG,0.8267188373392957,0.5925480769230769,0.6903150525087515,2496.0
accuracy,0.9315602455044686,0.9315602455044686,0.9315602455044686,0.9315602455044686
macro avg,0.839510870946221,0.7335876988603893,0.7784737814349455,46435.0
weighted avg,0.9278681417155654,0.9315602455044686,0.92716846074524,46435.0
