,precision,recall,f1-score,support
O,0.8966856923593458,0.9756543068131409,0.934504692518214,38323.0
PER,0.5802997858672377,0.4886404615939416,0.5305403288958497,2773.0
LOC,0.5365853658536586,0.09142857142857143,0.15623612960497116,1925.0
MISC,0.25806451612903225,0.06100217864923747,0.09867841409691631,918.0
ORG,0.5702746365105008,0.42427884615384615,0.48656099241902134,2496.0
accuracy,0.8621944653817164,0.8621944653817164,0.8621944653817164,0.8621944653817164
macro avg,0.5683819993439551,0.4082008729277475,0.44130411150699456,46435.0
weighted avg,0.8326928532852808,0.8621944653817164,0.8375150045033299,46435.0
